,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
311,Chicago Blackhawks,Detroit Red Wings,7,2,"Mar 01, 21",2,0,Discover Central
318,Vegas Golden Knights,Minnesota Wild,5,4,"Mar 02, 21",2,1,Honda West
316,Ottawa Senators,Calgary Flames,5,1,"Mar 02, 21",2,0,Scotia North
319,Anaheim Ducks,St. Louis Blues,4,5,"Mar 02, 21",0,2,Honda West
320,San Jose Sharks,Colorado Avalanche,6,2,"Mar 02, 21",2,0,Honda West
313,Winnipeg Jets,Vancouver Canucks,0,4,"Mar 02, 21",0,2,Scotia North
315,Florida Panthers,Carolina Hurricanes,2,3,"Mar 02, 21",1,2,Discover Central
317,Edmonton Oilers,Toronto Maple Leafs,0,3,"Mar 02, 21",0,2,Scotia North
321,New York Rangers,Buffalo Sabres,3,2,"Mar 03, 21",2,0,MassMutual East
322,Pittsburgh Penguins,Philadelphia Flyers,5,2,"Mar 03, 21",2,0,MassMutual East
323,Columbus Blue Jackets,Detroit Red Wings,4,1,"Mar 03, 21",2,0,Discover Central
324,Montréal Canadiens,Ottawa Senators,3,1,"Mar 03, 21",2,0,Scotia North
270,New Jersey Devils,New York Islanders,1,2,"Mar 03, 21",0,2,MassMutual East
325,Winnipeg Jets,Vancouver Canucks,5,2,"Mar 03, 21",2,0,Scotia North
243,Dallas Stars,Tampa Bay Lightning,0,2,"Mar 03, 21",0,2,Discover Central
48,Nashville Predators,Carolina Hurricanes,2,4,"Mar 03, 21",0,2,Discover Central
327,Edmonton Oilers,Toronto Maple Leafs,1,6,"Mar 04, 21",0,2,Scotia North
330,San Jose Sharks,Colorado Avalanche,0,4,"Mar 04, 21",0,2,Honda West
329,Anaheim Ducks,St. Louis Blues,2,3,"Mar 04, 21",0,2,Honda West
328,Vegas Golden Knights,Minnesota Wild,5,1,"Mar 04, 21",2,0,Honda West
326,Boston Bruins,Washington Capitals,1,2,"Mar 04, 21",1,2,MassMutual East
336,Montréal Canadiens,Winnipeg Jets,3,4,"Mar 05, 21",1,2,Scotia North
339,Dallas Stars,Columbus Blue Jackets,2,3,"Mar 05, 21",0,2,Discover Central
338,Vancouver Canucks,Toronto Maple Leafs,3,1,"Mar 05, 21",2,0,Scotia North
337,Calgary Flames,Ottawa Senators,7,3,"Mar 05, 21",2,0,Scotia North
335,Nashville Predators,Florida Panthers,4,5,"Mar 05, 21",0,2,Discover Central
334,Chicago Blackhawks,Tampa Bay Lightning,2,3,"Mar 05, 21",1,2,Discover Central
156,New York Islanders,Buffalo Sabres,5,2,"Mar 05, 21",2,0,MassMutual East
332,Carolina Hurricanes,Detroit Red Wings,5,2,"Mar 05, 21",2,0,Discover Central
333,Pittsburgh Penguins,Philadelphia Flyers,3,4,"Mar 05, 21",0,2,MassMutual East
171,New Jersey Devils,New York Rangers,1,6,"Mar 05, 21",0,2,MassMutual East
347,San Jose Sharks,Vegas Golden Knights,4,5,"Mar 06, 21",1,2,Honda West
346,Los Angeles Kings,St. Louis Blues,2,3,"Mar 06, 21",1,2,Honda West
345,Arizona Coyotes,Minnesota Wild,1,5,"Mar 06, 21",0,2,Honda West
344,Colorado Avalanche,Anaheim Ducks,3,2,"Mar 06, 21",2,1,Honda West
343,Chicago Blackhawks,Tampa Bay Lightning,4,3,"Mar 06, 21",2,1,Discover Central
348,Nashville Predators,Florida Panthers,2,6,"Mar 06, 21",0,2,Discover Central
341,New Jersey Devils,New York Rangers,3,6,"Mar 06, 21",0,2,MassMutual East
340,Boston Bruins,Washington Capitals,5,1,"Mar 06, 21",2,0,MassMutual East
342,New York Islanders,Buffalo Sabres,5,2,"Mar 06, 21",2,0,MassMutual East
360,Chicago Blackhawks,Tampa Bay Lightning,3,6,"Mar 07, 21",0,2,Discover Central
357,New York Islanders,Buffalo Sabres,5,2,"Mar 07, 21",2,0,MassMutual East
356,San Jose Sharks,Vegas Golden Knights,0,4,"Mar 07, 21",0,2,Honda West
355,Los Angeles Kings,St. Louis Blues,4,3,"Mar 07, 21",2,1,Honda West
354,Arizona Coyotes,Minnesota Wild,5,2,"Mar 07, 21",2,0,Honda West
352,Dallas Stars,Columbus Blue Jackets,5,0,"Mar 07, 21",2,0,Discover Central
353,Colorado Avalanche,Anaheim Ducks,4,5,"Mar 07, 21",1,2,Honda West
350,Edmonton Oilers,Calgary Flames,3,2,"Mar 07, 21",2,0,Scotia North
349,Montréal Canadiens,Winnipeg Jets,7,1,"Mar 07, 21",2,0,Scotia North
72,Carolina Hurricanes,Florida Panthers,4,2,"Mar 07, 21",2,0,Discover Central
218,Boston Bruins,New Jersey Devils,0,1,"Mar 07, 21",0,2,MassMutual East
351,Vancouver Canucks,Toronto Maple Leafs,4,2,"Mar 07, 21",2,0,Scotia North
224,Dallas Stars,Nashville Predators,3,4,"Mar 08, 21",1,2,Discover Central
359,Pittsburgh Penguins,New York Rangers,5,1,"Mar 08, 21",2,0,MassMutual East
361,Calgary Flames,Ottawa Senators,3,4,"Mar 08, 21",1,2,Scotia North
371,Pittsburgh Penguins,New York Rangers,4,2,"Mar 09, 21",2,0,MassMutual East
366,Anaheim Ducks,Los Angeles Kings,6,5,"Mar 09, 21",2,1,Honda West
365,Colorado Avalanche,Arizona Coyotes,2,3,"Mar 09, 21",0,2,Honda West
362,Edmonton Oilers,Ottawa Senators,3,2,"Mar 09, 21",2,0,Scotia North
363,Vancouver Canucks,Montréal Canadiens,2,1,"Mar 09, 21",2,1,Scotia North
294,San Jose Sharks,St. Louis Blues,3,2,"Mar 09, 21",2,1,Honda West
364,Minnesota Wild,Vegas Golden Knights,2,0,"Mar 09, 21",2,0,Honda West
367,New York Islanders,Boston Bruins,2,1,"Mar 10, 21",2,1,MassMutual East
368,Philadelphia Flyers,Buffalo Sabres,5,4,"Mar 10, 21",2,1,MassMutual East
369,Washington Capitals,New Jersey Devils,5,4,"Mar 10, 21",2,1,MassMutual East
370,Carolina Hurricanes,Nashville Predators,3,2,"Mar 10, 21",2,1,Discover Central
372,Columbus Blue Jackets,Florida Panthers,2,4,"Mar 10, 21",0,2,Discover Central
373,Detroit Red Wings,Tampa Bay Lightning,3,4,"Mar 10, 21",1,2,Discover Central
374,Toronto Maple Leafs,Winnipeg Jets,3,4,"Mar 10, 21",0,2,Scotia North
375,Dallas Stars,Chicago Blackhawks,6,1,"Mar 10, 21",2,0,Discover Central
380,Anaheim Ducks,Los Angeles Kings,1,5,"Mar 11, 21",0,2,Honda West
379,Colorado Avalanche,Arizona Coyotes,2,1,"Mar 11, 21",2,1,Honda West
377,Vancouver Canucks,Montréal Canadiens,1,5,"Mar 11, 21",0,2,Scotia North
376,Edmonton Oilers,Ottawa Senators,7,1,"Mar 11, 21",2,0,Scotia North
378,Minnesota Wild,Vegas Golden Knights,4,3,"Mar 11, 21",2,0,Honda West
389,Calgary Flames,Montréal Canadiens,2,1,"Mar 12, 21",2,0,Scotia North
381,Boston Bruins,New York Rangers,4,0,"Mar 12, 21",2,0,MassMutual East
382,Buffalo Sabres,Pittsburgh Penguins,2,5,"Mar 12, 21",0,2,MassMutual East
383,New York Islanders,New Jersey Devils,5,3,"Mar 12, 21",2,0,MassMutual East
384,Philadelphia Flyers,Washington Capitals,3,5,"Mar 12, 21",0,2,MassMutual East
385,Carolina Hurricanes,Nashville Predators,5,1,"Mar 12, 21",2,0,Discover Central
386,Columbus Blue Jackets,Florida Panthers,4,5,"Mar 12, 21",1,2,Discover Central
387,Detroit Red Wings,Tampa Bay Lightning,6,4,"Mar 12, 21",2,0,Discover Central
388,Toronto Maple Leafs,Winnipeg Jets,4,3,"Mar 12, 21",2,1,Scotia North
390,Dallas Stars,Chicago Blackhawks,2,4,"Mar 12, 21",0,2,Discover Central
