,home_team,away_team,home_score,away_score,date,home_point,away_point,Division
68,Dallas Stars,Nashville Predators,7,0,2021-01-23 01:43:23,2,0,Discover Central
69,Arizona Coyotes,Vegas Golden Knights,5,2,2021-01-23 02:07:37,2,0,Honda West
70,Anaheim Ducks,Colorado Avalanche,2,3,2021-01-23 03:07:59,1,2,Honda West
73,Columbus Blue Jackets,Tampa Bay Lightning,5,2,2021-01-23 19:07:38,2,0,Discover Central
71,Boston Bruins,Philadelphia Flyers,6,1,2021-01-24 00:08:43,2,0,MassMutual East
76,Vancouver Canucks,Montréal Canadiens,2,5,2021-01-24 00:15:22,0,2,Scotia North
74,St. Louis Blues,Los Angeles Kings,4,2,2021-01-24 01:08:16,2,0,Honda West
75,Winnipeg Jets,Ottawa Senators,6,3,2021-01-24 03:10:33,2,0,Scotia North
80,Chicago Blackhawks,Detroit Red Wings,6,2,2021-01-24 17:38:13,2,0,Discover Central
78,Washington Capitals,Buffalo Sabres,3,4,2021-01-24 20:08:00,1,2,MassMutual East
86,Arizona Coyotes,Vegas Golden Knights,0,1,2021-01-24 21:07:42,0,2,Honda West
83,Calgary Flames,Toronto Maple Leafs,2,3,2021-01-24 21:08:28,0,2,Scotia North
77,New Jersey Devils,New York Islanders,2,0,2021-01-25 00:08:16,2,0,MassMutual East
79,Pittsburgh Penguins,New York Rangers,3,2,2021-01-25 00:08:17,2,0,MassMutual East
87,Anaheim Ducks,Colorado Avalanche,3,1,2021-01-25 01:07:31,2,0,Honda West
85,Dallas Stars,Nashville Predators,3,2,2021-01-25 01:08:00,2,0,Discover Central
84,Minnesota Wild,San Jose Sharks,3,5,2021-01-25 01:08:40,0,2,Honda West
81,St. Louis Blues,Los Angeles Kings,3,6,2021-01-25 01:08:57,0,2,Honda West
82,Winnipeg Jets,Edmonton Oilers,3,4,2021-01-25 02:08:51,0,2,Scotia North
88,Vancouver Canucks,Ottawa Senators,7,1,2021-01-26 03:08:09,2,0,Scotia North
94,Columbus Blue Jackets,Florida Panthers,3,4,2021-01-27 00:07:32,1,2,Discover Central
89,Boston Bruins,Pittsburgh Penguins,3,2,2021-01-27 00:07:47,2,1,MassMutual East
91,New Jersey Devils,Philadelphia Flyers,3,5,2021-01-27 00:07:50,0,2,MassMutual East
92,Washington Capitals,New York Islanders,3,2,2021-01-27 00:08:01,2,0,MassMutual East
90,Buffalo Sabres,New York Rangers,3,2,2021-01-27 00:08:18,2,0,MassMutual East
95,Nashville Predators,Chicago Blackhawks,3,2,2021-01-27 01:07:47,2,1,Discover Central
96,Winnipeg Jets,Edmonton Oilers,6,4,2021-01-27 01:08:23,2,0,Scotia North
98,Minnesota Wild,Los Angeles Kings,1,2,2021-01-27 01:08:45,0,2,Honda West
99,Dallas Stars,Detroit Red Wings,2,1,2021-01-27 01:38:03,2,1,Discover Central
100,Colorado Avalanche,San Jose Sharks,7,3,2021-01-27 02:07:24,2,0,Honda West
97,Calgary Flames,Toronto Maple Leafs,3,4,2021-01-27 02:07:31,0,2,Scotia North
101,Arizona Coyotes,Anaheim Ducks,0,1,2021-01-27 02:07:31,0,2,Honda West
102,Vegas Golden Knights,St. Louis Blues,4,5,2021-01-27 02:07:35,1,2,Honda West
103,Nashville Predators,Chicago Blackhawks,2,1,2021-01-28 00:39:41,2,1,Discover Central
104,Vancouver Canucks,Ottawa Senators,5,1,2021-01-28 01:12:05,2,0,Scotia North
108,Washington Capitals,New York Islanders,6,3,2021-01-29 00:08:00,2,0,MassMutual East
110,Columbus Blue Jackets,Florida Panthers,3,2,2021-01-29 00:08:07,2,1,Discover Central
106,Buffalo Sabres,New York Rangers,2,3,2021-01-29 00:08:14,1,2,MassMutual East
105,Boston Bruins,Pittsburgh Penguins,4,1,2021-01-29 00:08:37,2,0,MassMutual East
107,New Jersey Devils,Philadelphia Flyers,1,3,2021-01-29 00:08:43,0,2,MassMutual East
109,Carolina Hurricanes,Tampa Bay Lightning,1,0,2021-01-29 00:09:26,2,1,Discover Central
111,Montréal Canadiens,Calgary Flames,4,2,2021-01-29 00:19:47,2,0,Scotia North
114,Minnesota Wild,Los Angeles Kings,5,3,2021-01-29 01:07:58,2,0,Honda West
115,Dallas Stars,Detroit Red Wings,7,3,2021-01-29 01:38:53,2,0,Discover Central
116,Colorado Avalanche,San Jose Sharks,3,0,2021-01-29 02:07:15,2,0,Honda West
117,Arizona Coyotes,Anaheim Ducks,3,2,2021-01-29 02:08:34,2,0,Honda West
113,Vancouver Canucks,Ottawa Senators,4,1,2021-01-29 03:08:01,2,0,Scotia North
112,Edmonton Oilers,Toronto Maple Leafs,3,4,2021-01-29 03:08:16,0,2,Scotia North
118,Chicago Blackhawks,Columbus Blue Jackets,1,2,2021-01-30 01:07:59,0,2,Discover Central
119,Buffalo Sabres,New Jersey Devils,4,3,2021-01-30 18:08:23,2,1,MassMutual East
122,Washington Capitals,Boston Bruins,4,3,2021-01-31 00:08:00,2,1,MassMutual East
120,New York Rangers,Pittsburgh Penguins,4,5,2021-01-31 00:08:13,1,2,MassMutual East
125,Detroit Red Wings,Florida Panthers,2,3,2021-01-31 00:08:19,1,2,Discover Central
124,Tampa Bay Lightning,Nashville Predators,4,3,2021-01-31 00:08:23,2,0,Discover Central
123,Carolina Hurricanes,Dallas Stars,4,1,2021-01-31 00:09:40,2,0,Discover Central
121,Philadelphia Flyers,New York Islanders,3,2,2021-01-31 00:09:50,2,1,MassMutual East
126,Montréal Canadiens,Calgary Flames,0,2,2021-01-31 00:15:09,0,2,Scotia North
128,Edmonton Oilers,Toronto Maple Leafs,4,3,2021-01-31 00:15:55,2,1,Scotia North
129,Minnesota Wild,Colorado Avalanche,1,5,2021-01-31 01:08:41,0,2,Honda West
130,Anaheim Ducks,St. Louis Blues,1,6,2021-01-31 02:07:27,0,2,Honda West
127,Winnipeg Jets,Vancouver Canucks,1,4,2021-01-31 03:10:20,0,2,Scotia North
131,Buffalo Sabres,New Jersey Devils,3,5,2021-01-31 18:08:58,0,2,MassMutual East
134,Detroit Red Wings,Florida Panthers,2,3,2021-01-31 22:07:47,0,2,Discover Central
133,Carolina Hurricanes,Dallas Stars,4,3,2021-01-31 22:09:42,2,1,Discover Central
135,Chicago Blackhawks,Columbus Blue Jackets,3,1,2021-02-01 00:08:26,2,0,Discover Central
132,Philadelphia Flyers,New York Islanders,4,3,2021-02-01 00:08:48,2,1,MassMutual East
138,Anaheim Ducks,St. Louis Blues,1,4,2021-02-01 01:07:40,0,2,Honda West
137,Minnesota Wild,Colorado Avalanche,4,3,2021-02-01 01:08:04,2,1,Honda West
136,Edmonton Oilers,Ottawa Senators,8,5,2021-02-01 02:08:45,2,0,Scotia North
140,Washington Capitals,Boston Bruins,3,5,2021-02-02 00:08:06,0,2,MassMutual East
141,Tampa Bay Lightning,Nashville Predators,5,2,2021-02-02 00:08:28,2,0,Discover Central
142,Montréal Canadiens,Vancouver Canucks,6,2,2021-02-02 00:08:39,2,0,Scotia North
139,New York Rangers,Pittsburgh Penguins,3,1,2021-02-02 00:10:47,2,0,MassMutual East
143,Winnipeg Jets,Calgary Flames,3,4,2021-02-02 01:08:26,1,2,Scotia North
149,Montréal Canadiens,Vancouver Canucks,5,3,2021-02-03 00:08:12,2,0,Scotia North
146,Columbus Blue Jackets,Dallas Stars,3,6,2021-02-03 00:08:55,0,2,Discover Central
150,Winnipeg Jets,Calgary Flames,3,2,2021-02-03 01:08:12,2,0,Scotia North
148,St. Louis Blues,Arizona Coyotes,4,3,2021-02-03 01:08:17,2,0,Honda West
147,Chicago Blackhawks,Carolina Hurricanes,3,4,2021-02-03 01:08:32,1,2,Discover Central
152,Colorado Avalanche,Minnesota Wild,2,1,2021-02-03 01:44:42,2,0,Honda West
155,Los Angeles Kings,Anaheim Ducks,1,3,2021-02-03 03:07:55,0,2,Honda West
151,Edmonton Oilers,Ottawa Senators,4,2,2021-02-03 03:07:58,2,0,Scotia North
154,Tampa Bay Lightning,Detroit Red Wings,5,1,2021-02-03 22:41:02,2,0,Discover Central
153,Philadelphia Flyers,Boston Bruins,3,4,2021-02-04 01:15:07,1,2,MassMutual East
157,New York Rangers,Washington Capitals,4,2,2021-02-05 00:08:15,2,0,MassMutual East
163,Toronto Maple Leafs,Vancouver Canucks,7,3,2021-02-05 00:09:17,2,0,Scotia North
159,Columbus Blue Jackets,Dallas Stars,4,3,2021-02-05 00:09:31,2,0,Discover Central
158,Florida Panthers,Nashville Predators,5,6,2021-02-05 00:09:41,1,2,Discover Central
162,Montréal Canadiens,Ottawa Senators,2,3,2021-02-05 00:14:01,0,2,Scotia North
160,Chicago Blackhawks,Carolina Hurricanes,6,4,2021-02-05 01:07:36,2,0,Discover Central
161,St. Louis Blues,Arizona Coyotes,3,4,2021-02-05 01:08:20,0,2,Honda West
164,Winnipeg Jets,Calgary Flames,4,1,2021-02-05 01:08:36,2,0,Scotia North
166,Philadelphia Flyers,Boston Bruins,1,2,2021-02-06 00:08:16,0,2,MassMutual East
167,Tampa Bay Lightning,Detroit Red Wings,3,1,2021-02-06 00:08:36,2,0,Discover Central
168,Florida Panthers,Nashville Predators,2,1,2021-02-06 00:08:58,2,0,Discover Central
170,Anaheim Ducks,San Jose Sharks,4,5,2021-02-06 03:07:22,1,2,Honda West
169,Vegas Golden Knights,Los Angeles Kings,5,2,2021-02-06 03:07:31,2,0,Honda West
173,Ottawa Senators,Montréal Canadiens,1,2,2021-02-06 18:08:01,0,2,Scotia North
